EVTNAME94;;;;;;;;;;;;;x
show_master_questes_title;Show Master Quests;;;;Mostrar Desafíos Maestros;;;;;;;;x
master_cuba_haiti_title;Master-The Counter-Hispaniola;;;;Master-La Contra-Hispaniola;;;;;;;;x
master_cuba_haiti_desc;The colonization of America began when the Spanish expedition of Christopher Columbus found and settled on the island of Haiti, calling it La Hispaniola. Well, perform a counter-hispaniola and §Ytake Spain capital§! playing with one of the countries of La Hispaniola.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;La colonización de América comenzó cuando la expedición española de Cristóbal Colón encontró y se estableció en la isla de Haití, llamándola La Hispaniola. Pues realiza una contra-hispaniola y §Ytoma la capital española§! jugando con uno de los países de La Hispaniola.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
master_form_germany_title;Master-Form Germany;;;;Master-Formar Alemania;;;;;;;;x
master_form_germany_desc;Forming Germany with Prussia, Bavaria or Austria is very easy, this Master Quest challenges you to form Germany with one of the §Ysmall German states§!.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;Formar Alemania con Prusia, Baviera o Austria es muy sencillo, este Desafío Maestro te reta a formar Alemania con uno de los §Ypequeños estados germánicos§!.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_form_italy_title;Master-Form Italy;;;;Master-Formar Italia;;;;;;;;x
master_form_italy_desc;Forming Italy is very easy if you use Sardenia or Two Sicilies. To complete this Master Quest you must form Italy with one of the §Ysmall Italian nations§!.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RS§!;;;;Formar Italia es muy fácil si usas Sardenia o Sicilia. Para completar este Desafío Maestro debes formar Italia con una de las §Ypequeñas naciones italianas§!.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RS§!;;;;;;;;x
master_one_america_title;Master-One America;;;;Master-Una América;;;;;;;;x
master_one_america_desc;Unite the entire American continent under the same flag. Take §Yall the capitals of the continent§! using Mexico or Brazil and complete this Master Quest.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSS§!;;;;Une a todo el continente americano bajo una misma bandera. Toma §Ytodas las capitales del continente§! usando a México o Brasil y completa este Desafío Maestro.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSS§!;;;;;;;;x
master_mid_east_title;Master-One Mid-East;;;;Master-Un Medio Oriente;;;;;;;;x
master_mid_east_desc;The Middle East has always been a region of conflict, despite being the cradle of civilization, it seems to live in an infinite war. Finish with that and conquer §Ythe entire region§!.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;Medio oriente siempre ha sido una región de conflictos, a pesar de ser la cuna de la civilización, parece que vive en una guerra infinita. Termina con eso y conquista §Ytoda la región§!.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
master_islands_title;Master-Islands Master;;;;Master-Maestro de las Islas;;;;;;;;x
master_islands_desc;Using an island-nation, §Ycontrol all the islands§! in the game, absolutely all of them. No one but you should own the islands. Remember that United Kingdom, Japan, Australia and even Greenland are islands, look at the map, do not forget any of the small islands in the Pacific. And no, with the United Kingdom it is not valid.\n §Y-Be honorable and don't use codes-§!\n Difficulty: §RSSS§!;;;;Usando una isla-nación, controla §Ytodas las islas del juego§!, absolutamente todas. Nadie mas que tu debe poseer las islas. Recuerda que tanto Reino Unido, Japon, Australia y hasta Groelandia son islas, observa el mapa, no vayas a olvidar alguna de las pequeñas islas del Pacifico. Y no, con Reino Unido no se vale.\n §Y-Se honorable y no uses códigos-§!\n Dificultad: §RSSS§!;;;;;;;;x
